"Country","extramarital-affairs","gambling","homosexuality","abortion","premarital-sex","alcohol-use","divorce","contraception-use"
"Argentina",11,20,49,16,45,26,60,69
"Australia",4,18,33,29,34,36,43,55
"Bolivia",7,11,32,6,22,13,29,58
"Brazil",6,15,44,7,47,29,62,79
"Britain",4,22,36,27,38,38,41,62
"Canada",4,19,30,26,34,31,37,49
"Chile",13,15,45,15,54,29,64,75
"China",8,8,13,29,12,12,45,49
"Czech Republic",17,11,56,49,67,46,60,74
"Egypt",2,3,1,5,2,5,51,35
"El Salvador",4,6,18,2,22,8,30,63
"France",12,31,36,38,47,25,43,56
"Germany",11,25,51,43,57,41,58,70
"Ghana",10,3,1,2,6,8,10,35
"Greece",5,7,24,16,59,22,42,45
"India",14,7,9,17,10,10,18,59
"Indonesia",1,2,3,1,1,2,20,65
"Israel",11,16,27,25,36,27,33,44
"Italy",10,12,42,25,42,15,48,59
"Japan",12,38,38,44,47,66,55,73
"Jordan",1,2,2,4,1,3,54,38
"Kenya",8,5,3,3,4,9,17,47
"Lebanon",0,4,7,8,5,25,48,34
"Malaysia",2,8,4,4,3,10,16,21
"Mexico",9,13,36,16,26,21,41,63
"Nigeria",7,1,1,2,3,6,12,17
"Pakistan",0,0,1,1,0,1,10,12
"Palestinian ter.",1,1,1,7,1,1,27,40
"Philippines",5,20,25,2,20,34,25,60
"Poland",9,22,22,13,44,37,35,47
"Russia",7,10,9,25,40,26,46,62
"South Africa",11,18,18,10,21,22,16,68
"South Korea",8,7,18,19,27,34,32,49
"Senegal",5,7,3,14,6,9,35,51
"Spain",8,17,55,35,52,27,57,64
"Tunisia",3,2,0,4,4,5,16,27
"Turkey",2,5,4,18,5,10,32,42
"United States",4,25,23,17,29,32,33,52
"Uganda",7,3,1,2,9,19,9,51
"Venezuela",12,20,32,8,61,36,58,82
