"Country","extramarital-affairs","gambling","homosexuality","abortion","premarital-sex","alcohol-use","divorce","contraception-use"
"Argentina",12,25,20,11,27,27,20,21
"Australia",13,39,45,32,47,46,43,39
"Bolivia",6,17,9,4,11,12,10,13
"Brazil",9,19,14,9,14,20,10,11
"Britain",15,45,43,28,44,47,42,32
"Canada",17,55,50,37,47,57,47,43
"Chile",16,27,13,9,26,31,16,17
"China",12,28,17,20,17,37,18,28
"Czech Republic",10,19,27,18,18,24,21,21
"Egypt",4,5,1,22,6,13,30,36
"El Salvador",4,10,9,3,14,8,9,11
"France",40,56,50,47,47,56,52,40
"Germany",26,41,38,25,34,40,32,28
"Ghana",2,3,1,2,4,8,2,7
"Greece",12,37,24,11,27,47,28,33
"India",13,16,11,10,11,16,10,7
"Indonesia",4,8,2,1,1,8,10,15
"Israel",13,30,25,23,22,39,34,29
"Italy",16,48,31,11,41,49,23,30
"Japan",14,28,25,19,26,25,27,18
"Jordan",5,6,3,36,3,12,29,36
"Kenya",7,21,9,8,13,24,13,11
"Lebanon",3,17,11,18,8,21,28,31
"Malaysia",6,13,6,8,5,15,22,23
"Mexico",12,30,15,12,21,31,16,18
"Nigeria",12,16,11,10,13,17,12,13
"Pakistan",3,3,3,4,2,2,5,7
"Palestinian ter.",4,7,4,13,4,9,27,24
"Philippines",4,18,9,4,7,24,7,9
"Poland",13,38,26,13,21,34,24,24
"Russia",9,18,9,10,10,13,13,19
"South Africa",11,27,12,8,17,25,15,9
"South Korea",8,12,21,12,29,35,29,26
"Senegal",24,21,26,22,26,24,16,11
"Spain",27,51,38,28,39,46,37,32
"Tunisia",4,4,4,6,3,6,22,17
"Turkey",2,12,12,14,2,17,24,21
"United States",10,47,35,23,36,46,36,36
"Uganda",8,11,5,6,9,14,6,6
"Venezuela",9,15,12,6,13,17,8,8
